USER,DATE,STAR,LIKE,TITLE,REVIEW
EclipseSunandMoon,2021-08-10 18:28:34-07:00,3,0,more anime I like plz?,"bruh I’ve literally watched almost every single anime on your service in such a short amount of time, so can u please add bungou stray dogs, golden wind, mob psycho 100, assassination classroom, all the seasons of aot. thanks. edit: also i stg if stone ocean ain’t premiering on the american version of netflix…😤😡"
james keffer,2021-08-10 17:35:58-07:00,5,0,Pls add minions,Can y’all add minions
Triniti_Savage,2021-08-10 17:03:28-07:00,1,0,YOU WRONG,"NOW WHY WOULD YOU END ALL AMERICAN LIKE THAT , WHY WOULD YOU PUT THAT UP THERE AND END IT LIKE THAT , YALL WRONG ND YALL KNOW YALL WRONG."
drkangel,2021-08-10 15:26:46-07:00,1,0,Login issues,"Can’t login. It keeps telling me I have to be a member. I am. I never used to have to login every time I opened the app, but now I do and it won’t let me. Please fix!!"
estellasavage,2021-08-10 15:18:52-07:00,5,0,LOVE THIS,AMAZING but you know what would be more amazing?? Adding jojo part 5 <3
Catpond11,2021-08-10 15:02:49-07:00,1,0,App update,I love this app however the my app updated 8/9/2021 and now I don’t have any movie/show options besides ones Netflix made. I can’t find greys anatomy and my sister can who has not updated her app…
bro lidzzz,2021-08-10 11:20:20-07:00,5,0,Fear street,I want fear street i cons
evanny sotelo,2021-08-10 10:51:10-07:00,5,0,OMG THANK U FOR MY GIRL 1 AND 2 I LOVE IT,Thank you
XxxDeadshotxx86,2021-08-10 08:01:46-07:00,5,0,.,U guys should add custom profiles from photos
lovely diarra,2021-08-10 06:57:49-07:00,4,0,I can’t Donald it,I can’t donald
_L_P_,2021-08-10 03:37:58-07:00,1,0,Terrible,"Can’t do the most basic function: look up and play a movie in the database. Instead, you type in a search term, it utterly fails to bring up the movie with that title and instead bombards you with “suggestions” and “trending”, most of which is crap, unrelated to the search term, and - as far as I can tell - showing little relevance to user interests or history.

Just let me look up and play the movie I want. Why make that impossible?!!"
𝓝𝓞𝓞𝓞𝓞𝓞𝓞𝓞𝓞𝓞,2021-08-09 23:49:09-07:00,3,0,why take off the good shows????,why do you guys leave the bad shows and take off the good shows🧍🏽‍♀️
jamesbullking,2021-08-09 22:14:29-07:00,1,0,Netflix is trash,Aye I’m sorry I was in a middle of a show called shameless and the walking dead but you guys took it off I been watching your guys show for years now I’m switching into Amazon prime Hulu ESPN+ Disney plus and all sorry but y’all gotta do better I’m switching for good
Vital Lee,2021-08-09 20:24:44-07:00,1,0,English audio not working on several films.,English audio not working on mobile app. Tried uninstalling and resetting Netflix app. Only able to hear English dubbed version of some films by logging in on the web browser. This has been going on for several days now. What’s the point in installing the app if I can’t even use it?
NOTursunshine,2021-08-09 20:16:48-07:00,3,0,Support help,I was having problems. My account was hacked. I called to report the problem. Two people could not help me because they had to follow the steps. Even the manager said we have to start with step one and proceed down the list. I canceled my subscription.
Newton42,2021-08-09 20:14:13-07:00,1,0,No airplay support,"Seeing that Netflix app is no longer supporting airplay, I’m voicing my disappointment here. Maybe the Disney app will support airplay when it comes out.

Also, the amount of A B testing inside the app is obnoxious."
brybry1234567,2021-08-09 18:18:58-07:00,5,0,Seasons of haiykuu,I would want you guys to put on  more seasons of haiykuu on Netflix
why?206,2021-08-09 18:12:51-07:00,5,0,Yes,"Good, yes."
theorymalonepanicspears,2021-08-09 16:48:05-07:00,1,0,WHY,why take off the child’s play movies there good if you don’t them back i sue
Mendesarmy forever!!!,2021-08-09 15:37:54-07:00,3,0,Great app but I have a suggestion,I think you guys should add a skip sex scene for example American horror story’s season hotel has a lot of sex scenes I would watch it but I can’t so please add this
Margarita Mix,2021-08-09 13:07:14-07:00,1,0,What is going on?????,This app just won’t work?? Why am I paying for an app that’s not working properly?? It’s updated and account is paid for. What is the issue??
snyd55,2021-08-09 12:10:34-07:00,4,0,Please read Netflix has one major flaw,I love it. But The Who was show needs to be upgraded and and Until it is upgraded with a season two my reviews will get worse all I have to say 😾😡😡😡😡😤😡😠
modab98,2021-08-09 10:08:08-07:00,5,0,Amazing,As long as I get it for free I ain't gonna complain but once my lad stops sharing it with me I have so much to write.
seniorturtle,2021-08-09 06:18:07-07:00,3,0,quality app,would be better if shows like pretty little liars and once upon a time were still on it.
katy5674,2021-08-09 05:01:51-07:00,2,0,Minions,You took minions off netflix
Kaitlin047652,2021-08-08 23:56:35-07:00,2,0,what in the world,All my shows in my continue watching have disappeared. Along with that all the shows that were in my list disappeared. I have looked them up on safari as ex “grey’s anatomy netflix” which will then show me to the page I cannot access by searching in app. And when it does take me to the page it will not let me watch it. There’s not a button to press on the page at all.  And no the app is not messed up entirely I can watch new shows that show up in the continue watching at least. I have no clue what the problem is as my phone and app are completely up to date i have 4 bars of service & wifi. Very upset if it is the new update that caused this to happen as it’s happened to others.
fix. your site. please,2021-08-08 23:05:53-07:00,1,0,Please fix!!!!!!!!!,"What’s happening with the app, I can’t watch anything right now and it’s been happening for days. Please fix it!!!"
hasilly,2021-08-08 22:30:58-07:00,4,0,Suggestion: Let me see my liked shows,"Obviously I love Netflix. I thank all the developers for their hard work! I have one suggestion though. I would love to be able to see the shows I liked (and potentially the ones I dislike as well). For context, right now I have all the shows I love in my list as well as shows I plan on watching in the future in my list. So basically my list is a mess. 🙃 I like to keep the shows I like in my list so I can rewatch them or so I can scroll through when people ask for a Netflix recommendation. Being able to separate the two into two separate lists would be life changing. Thank you!! 💗"
Food 🍲,2021-08-08 22:16:24-07:00,1,0,It won't let me do anything,It won't let me sign in or make an account whenever I keep trying to make one or sign in it keeps loading back to the red sign in button and I really want to watch Netflix an not have a problem so please can you fix it please and thank you ❤
Minecrafter26,2021-08-08 21:57:24-07:00,4,0,Please add naruto shippuden,Please add naruto shippuden
ipod geek,2021-08-08 20:44:20-07:00,3,0,I’m sad I updated,"I sad that the current state of things it to auto play previews. I guess I’m weird in that I want to actually read the shows synopsis instead. Do I want to see previews, yes. Do I want to see them all the time no, never. 

Please allow folks to turn off this auto crap. Please."
istg.,2021-08-08 20:34:32-07:00,1,0,😐,this thing be glitching sometime and be acting up. also you guys continue to put shows on Netflix and take the good ones out. and that’s what i don’t get about you guys not all the shows you put that are new are top notch you guys still haven’t put out the good ones like frozen but i-Carly and sam and cat?! but no frozen i don’t get it you guys be taking out my favorite movies and shoes like cmon now not cool 💀😐.
#ilovefoxes,2021-08-08 19:53:30-07:00,4,0,What?,I was recently re-logging into Netflix and it literally won’t let me login it just keeps going out of the app so I don’t know what to think.
V7008,2021-08-08 19:32:51-07:00,1,0,Have a friend who pirates movies,Make sure you have a friend who pirates movies with a VPN using bit torrents. You download a fraction of a film at a time. It’s still legal in my area. Yay! You won’t have to pay streaming bills up the butt. If we do this (use Pirate Bay.com) these companies will start charging less and stop molesting us. Do it people. But make sure your “friend” is the one doing it just you be safe. Enjoy and arrrrgggh! Friends pirate for friends!
.....nickname...,2021-08-08 17:39:17-07:00,1,0,230 billion $ company with a 2$ app…,Why is it 2021 and you still can’t cast properly to your tv? I get better streaming performance from The Chosen app. A christian streaming platform funded by a couple thousand people. It’s kinda sad tbh…
Bri<3!!!,2021-08-08 17:20:46-07:00,3,0,Good app but…,don’t like how they take out all of the good movies and shows. Many of my comfort shows have been taken out and I have no where else to watch it. It is understandable that every show has its time to leave but many have been taken down not long after being put out. The worst part is cancelling enjoyable shows/movies to renew a season or make a part two of something people can go their life without. Maybe it’s a coincidence that a lot of the shows that have been cancelled are shows with representation for all communities but i’m going to take it to offense.
I love flowers 🌸,2021-08-08 17:16:45-07:00,5,0,I love this app,It has my favorite shows and it has interactives witch I love but also get Hulu
mynicknameisloser,2021-08-08 15:39:34-07:00,2,1,Greedy.,Been using Netflix for years but I have a major issue with the fact that I need to pay extra to gain access to 4K content. There is no reason I should have to upgrade my subscription and pay more  after I just spent hundreds on a brand new 4K tv.
jemmdndj,2021-08-08 14:48:21-07:00,4,0,Um..,It’s good I guess sorry nothing to say bye
MyBadGee_,2021-08-08 13:31:52-07:00,1,0,No Network Connection??,I loved this app until recently. The last few days I try to log into the app and it says ‘No Network Connection” but only says that when I try to log into the app or on Netflix.com? 🤔 Everything else works on my Data and/or WiFi. What’s going on??
netlix is the worst,2021-08-08 13:18:47-07:00,1,1,Shows,Netflix you need to have miraculous ladybug back on Netflix now
Quicksilver691,2021-08-08 12:32:44-07:00,1,0,Improve UI to match androids,"Is it so difficult to make the improvements below? 

Common Netflix….

Please give the option to set the following: Simple things that makes android Netflix UI better. 1) Set default language (it keeps automatically resetting to English with audio description on iPhone and iPad after each episode) 2) Set AUTOPLAY next episode when watching on cellular, it’s available on android and it does it on iPhone when on WiFi, can we get the same on cellular?"
!!!!!meep!!!!!,2021-08-08 09:27:34-07:00,5,0,Awesome,First of all I love Netflix I get to watch so many good shows it’s the best but there a few things I would like first it should be an option to only download 1 episode or the entire session and maybe add more of the spy kids movies that’s all this app is grate
emmyegg,2021-08-08 08:19:26-07:00,2,0,Netflix,I love Netflix so much but my parents changed the password because they were at a hotel trying to sign in but no one knew the pass so they changed the pass and it logged me out and whenever I try to sign in I start typing and then it go back to the page where you choose to sign in it’s so annoying
jojo11116,2021-08-07 23:55:28-07:00,1,0,Anti-Semitic,Stop putting up shows that are marking up lies about me not ok I will get 1000 peace to unsubscribe this week
mas5949,2021-08-07 23:36:37-07:00,3,0,A lot of errors lately,"I have been doing a lot of downloading lately since I don’t have WiFi access everywhere and do not want to eat up all of my high speed data. I’ve noticed some content, recently episodes of Arrow, will stream fine while in WiFi but will not play when downloaded. They usually give a 2204 error which doesn’t make sense since I didn’t change regions. When I try to view the episode in the app it either has some weird null coding as the description or won’t show up at all."
urhfjdkd,2021-08-07 23:15:40-07:00,1,0,POWER RANGERS BRING BACK FOR JUSTICE,"NETFLIX YALL DONE LOST YALL FOREVER LAST MINDS WHO DO YOU THINK YOU ARE FOR TAKING OFF ALL THE POWER RANGERS YOU BETTER PUT EACH AND EVERY SINGLE ONE OF THEM BACK UP ESPECIALLY POWER RANGERS SAMURAI. SO WHAT I WAS TOLD YOU GUYS TOOK DOWN POWER RANGERS JUST BECAUSE IT WAS GETTING ENOUGH OF ATTENTION…? LIKE OKKKK??? I WAS GIVING IT ATTENTION LIKE. EVEN IF I AM WRONG I DONT CARE WHAT THE REASON IS BUT FOR YOU TO SIT HERE AND DO THE UNTHINKABLE IS OUTRAGEOUS.

PUT ALL THE POWER RANGERS BACK ON NETFLIX NOW‼️❗️‼️❗️😡"
tory maris,2021-08-07 21:16:11-07:00,1,0,terrible scary movie collection,get better scary movies it’s not hard
Stuck in Indiana,2021-08-07 21:09:22-07:00,1,0,Inconsistent and Frustrating,Netflix keeps forgetting which series I have been watching and loses my place within an episode.  I have to search for the series and often it is missing.  Frustrating!!!
ndifhbf,2021-08-07 20:44:51-07:00,1,0,Trash,Can’t find half the shows that my Netflix account on my tv had
shanggang2.0,2021-08-07 20:00:03-07:00,3,1,Taken off/not completely English,I love Netflix it is amazing but you take off several shows like yugioh and you also have show that aren’t even completely English even though it was an option in the first season for example saikik a show I like but I can’t watch it now because every Season except for the first is not in English!
holly176,2021-08-07 19:00:55-07:00,3,0,I love this app,"I love Netflix and watching the shows but Netflix takes out lots of good shows which makes me stop watching Netflix I was trying to put Barbie for my daughter and realized ITS ONLY 1 SEASON my daughter was so sad when she found out that they removed season 2,3,4,5,6,7 and I also got really said and I hope u put good shows back and the old ones"
💩😒👍😄🤣,2021-08-07 18:36:56-07:00,1,0,Anime,I’m so disappointed you are taking off all the Naruto movies
HalfHalf Star,2021-08-07 17:13:46-07:00,1,0,No Help,"My Netflix account was hacked somehow and the are not being helpful. Good bye Netflix, you will not see a dime from me ever again."
hilllssa,2021-08-07 12:32:59-07:00,1,0,Horrible app,This is the only app I’ve ever seen this happen to but all the time it uninstalls itself. Then it acts like it’s going to redownload and NEVER does!
new better movies,2021-08-07 11:00:45-07:00,2,0,Needs upgrades,The movies on here are old they need to upgrade the movies because all of the movies on here I done seen them over and over would like to see something new for a change...
mwithersit,2021-08-07 09:01:57-07:00,1,0,Now requires iOS 14,"What the actual!? You are the only app requiring iOS 14, at least give a good reason in your change log - butface"
TuckEazy,2021-08-07 08:48:58-07:00,1,0,crap,"ever since the update now it wont let me use the apple hdmi adapter to cast to me tv from my ipad, considering cancelling subscription"
sauesb.,2021-08-07 06:12:24-07:00,1,0,Constantly kicks you out,"Tired of this. I pay for this service & every time I’m on my phone, it kicks me out of the app. I have to sign in each time and it takes like 3-4 attempts to even get into the app. I’m about to cancel Netflix completely. I pay too much money to not be able to use the app."
ow-no,2021-08-07 05:00:17-07:00,5,0,Problem,Bring back slugterra and all the powerrangers and in lego ninjago the voices keep on being wrong on my TV
Buera1973,2021-08-07 02:16:22-07:00,4,0,Korean tv series,"I would like more if you would have the Korean tv series in English or Spanish audio. There is few of them I really want to see; Cinderella and the four knights, inheritors, boys over flowers, oh my ghost."
guy who just wants to watch,2021-08-07 01:20:18-07:00,4,0,One problem that’s annoying,When I watch anything there is always the stupid black rectangles taking up all the space normally this doesn’t annoy me but the movie I’m on avatar the movie the rectangles are HUGE can't see anything to the sides up or down and anything that is in that area can’t be seen and I can’t even zoom in because I would not see anything to the sides.  Please remove the black rectangles
ChristyDS,2021-08-07 00:25:47-07:00,1,0,Bugs - No Longer A Good App,"On iPhone, keep getting error message “title not available” during show. Constant issue signing into app and remaining signed in."
cat noir wife,2021-08-07 00:12:56-07:00,1,1,Taking down amazing shows,Netflix has the AUDACITY to take down several amazing shows and movies 🙄. Why on earth did they take down the vampire diaries. Or miraculous ladybug?? Or several amazing anime’s. My rating will remain a 1 until they bring all the amazing shows back
cash app$,2021-08-06 23:29:11-07:00,3,0,What you need back on Netflix,I love the app but I NEED ALL THE MONSTER HIGH EPISODES AND MOVIES WHEN I MEAN I MEAN ALL
fhthhdbkdyff,2021-08-06 21:56:36-07:00,1,0,Where did the spiritual genre go??,???????
niyah_4L1,2021-08-06 19:48:52-07:00,4,0,All about can’t screen recording no popular animes and I’m not putting all of the seasons,You guys have a good animes but you’re not putting the popular animes on there and i want to screen Record but it won’t let me so I can make edits on tiktok also yeah do not put all the seasons on there for example fairytale you guys put most of the seasons of Hunter X Hunter so I appreciate that but like I said again put some of the popular animes on there please
dylan323i,2021-08-06 19:18:55-07:00,1,0,Dumpster fire of an app,"How is this the app for iOS? Seriously, this garbage app forgets what’s it is connected to every time I switch between apps and barely ever knows what casting devices are on the network fix your crap."
Leetle Leetle Leeetle oof,2021-08-06 19:03:47-07:00,1,0,might uninstall.,i literally HATE you guys for taking of the vampire diaries like I WAS WATCHING THAT. so annoying.
iheartmydogpippenfrompilson,2021-08-06 17:48:20-07:00,3,0,UR OK,I watched everything on it…
Wishicouldfindanicknamenotused,2021-08-06 16:57:55-07:00,1,0,Yuck!,The app gets worse with each update!!
f go knnjddhj,2021-08-06 16:51:39-07:00,3,0,Comment,Y’all need to put Greys Anatomy back on Netflix!! Nobody told y’all to take it off!!
caiden102311,2021-08-06 16:47:59-07:00,5,0,Stop connecting to the tv,Ight so every time I’m trying to play cod and watch Netflix at the same time it just connects to the tv it’s annoying but over all it’s a 10/10 app in my opin
Double thumbs upp,2021-08-06 15:14:27-07:00,4,0,app is good.,"Netflix is a great app. i would defeat recommend to other people. but, i do have two problems with the app. my first problem is that netflix adds shows to make people excited, for example, friends. and movies as well, such as goosebumps. they take them off constantly! friends isnt on there anymore, i was in the middle of rewatching. my second issue with netflix is , some shows dont show up on certain devices. lately, riverdale hasnt been showing up on my phone nor ipad. it shows up on my tv though. and both devices are up to date. if theres a way to fix this, please do. overall netflix is a great app. theres a great variety of shows. the only selection that was meh for me was horror. theres not much for horror. but other than that theres great dramas and great reality tv. 4/5 would recommend!"
thor bean 64,2021-08-06 14:57:32-07:00,1,0,NACHOOOOOO,DONT GET RID OF NACHO LIBRE PLEASE PLEASE PLEASE PLEASE PLEASE
Qveen_cherokee_13,2021-08-06 14:00:45-07:00,5,0,Problem,I cannot watch my Netflix shows. Fix it! Now!
todo lo demas muy bien,2021-08-06 13:56:30-07:00,1,0,No me agrada,No me gusta que borren las serie que ya están lo más bien todas completas y de la nada las borran
franky navaro,2021-08-06 13:46:03-07:00,2,0,Why,Your an idiot. Why did you take the only good anime on there? It was all I could watch.
asdfninethousand,2021-08-06 13:28:55-07:00,4,0,"Very Good, PiP Could Use Work","I love the app, especially smart downloads, but there are a few issues with picture in picture, in particular. I would like to use the app while watching (download management & stuff like that). That currently isn’t supported. Hulu’s player has a PiP button for this. Also this PiP window seems to always be 16:9 for some reason, causing it to take up extra space with the letterboxing."
CODM 1234,2021-08-06 13:20:48-07:00,1,0,Movie,"I was watching Heartlands and at the ends of the episodes, it was removed and it might be good show so you guys better put it back on or I'm going to report this!"
hannahthehero🦋🦄,2021-08-06 13:04:41-07:00,2,0,Ehhhhhhh,"Now as you see love the app I have been using it for longer than I can remember. But I rated only 2 stars, let me explain..... So, the only problem I see is why they are always removing like the best shows. Like liv and Maddie Will be removed April 22 from Netflix! It’s like everybody’s favorite show including mine! If you will remove stuff at least don’t remove Liv and Maddie! Please!!!! One tiny suggestion please add the show Jessie back on Netflix they removed it a while ago but that show is like the best! Please take my suggestion if you see this Netflix creators or whoever runs Netflix. Again I’m 11 years old so I don’t know much..... Thanks byeeeee. April, 7, 2021. :) Signed, A fan! @-@ Wait I forgot something some stuff in kid section aren’t for kids please fix it some stuff inappropriate what’s with people these days playing nasty rap hood music in car now this!!!....... Wow. Edit few months later: hi I started watching promised never land and I want to know if they have a second season coming out. I watched a video saying season 2 won’t come out for a few years. If there is one. Especially on Netflix. Because whoever is reading this and is a fan of promised never land I will tell you almost every good show comes out way later on Netflix then on other apps. So if the developers or company is reading this then put the new season on now! If there is one! Like it can’t be that hard. Oh and also some stuff in the kids stuff aren’t for kids also why do they have kids kissing it ridiculous and not good and it shouldn’t become a habit in kid shows like come on! Like TV- PG stuff isn’t for kids that’s like teens or older so maybe put that in the adult stuff! But again the worst problem I have already stated in this review is that you only have the first season of the promised never land so put the second season on please!!! Sorry if it sounded harsh but you know I really like the show and I’m not about to wait for two years for like the second season containing only 11 episodes so don’t ruin it!"
cfdvfgfbhghgfhfgnhgjgh,2021-08-06 09:55:18-07:00,3,0,pros and cons,its good i use it a whole lot. but shows and movies always get removed or cancelled
get cancelled ❤️😶🥺,2021-08-06 09:43:41-07:00,5,0,Hey netflix,"I write a lot of reviews for you guys 
I love your platform
But i have some recommendations you should add
People love these animes/movies/shows
1.banana fish (its one that will make you cry) 
2.given (a lot of people love this anime its great) 
3.south park (its a very funny show)
4.Steven universe (its a great lgbtq kids show) 
5.IT (its a very amazing horror movie) 

Also thank you for adding the rest of hunter x hunter i really love that anime and im excited that i can finish watching the show also a big thanks for adding more amazing animes and people are very thankful! 

Please consider adding the recommendations i promise they are very great shows/animes to watch and there are a lot of people that wanna watch it but cant because there not on big platforms! But if you add them loads more people will be watching Netflix more often 

Thank you!"
trivia poop,2021-08-06 08:10:16-07:00,5,0,Omg so good,"If u haven’t downloaded it yet, WHAT ARE YOU WAITING FOR!!!
It is the best app to watch shows and movies on. It only lags when ur internet is bad. So if it lags, fix ur internet!! I’m constantly watching series, and movies everyday! Sometimes it even tells u what new movies r coming out soon. If you don’t have a phone like me then that’s ok! It won’t let u see what’s coming out soon but it’s still the exact same thing! So if ur still reading this and u haven’t downloaded it yet, I have no idea what’s wrong with you. DOWNLOAD IT!!!👍🏻👍🏻👍🏻👍🏻👍🏻"
heidhsjai,2021-08-06 08:03:22-07:00,2,0,WHY,"Why do you guys keep taking all the good shows off!!! First it was white chicks, then it’s friends, the office and now dexter. I’m in disbelief. I don’t know what to say. I just miss those shows"
Osheadose,2021-08-06 05:20:05-07:00,1,0,App won’t even run on phone,For the past 3-4 months I’ve been trying to use netflix app on my phone but it crashes. It’s glitches everytime I get to the avatar page and prompts the message “There was a problem selecting this profile. Please try again later”. The problem persists with every Netflix account. This is ghetto‼️🥱
Khalil34,2021-08-06 04:06:47-07:00,1,0,Bring back MONARCA Season 3!!!,"I, along with countless of Netflix subscribers worldwide, loved the Monarca series. Please bring back Monarca Season 3!!!!! Why did you cancel this incredible series?! PLEASE BRING BACK MONARCA SEASON 3!!!"
DeutschPuzzler,2021-08-05 21:53:45-07:00,1,0,Poor selection,"Some subjects have VERY limited options, especially for documentaries or educational/informative shows. As an example, I tried to look up educational series on dinosaurs or prehistoric life, but all I got were children’s cartoons/fictional material and three documentary series about MODERN animal life - all of which were Netflix produced. It’s nice that Netflix has kid friendly content, but works of pure fiction or antiquated information shouldn’t be the only options I have for certain topics. Not to mention they have done away with so much GOOD content to make way for with their own series. Seriously considering canceling my subscription."
błuėpøtåto,2021-08-05 20:18:38-07:00,5,0,dont listen to what other people say.,"This is a amazing app, it has a lot of animes, horror, romance, ect. Even a kids lock to keep adult shows off the profile. 10/10 i havent had any bugs/problems with this app so far and i have had it for atleast 2-3 years. For example if you wanna play a game and watch netflix at the same time, fear not! if you leave netflix and wanna join maybe a video game, roblox, mnecraft ect you can. it goes into a box into your corner. youcan adjust sizes from small to big with just a drag of an finger. I’m watching netflix while writing this right now actually! 😂 watch it while traveling, commute, or just to take a break."
Itsfunneh4lifw,2021-08-05 20:02:22-07:00,1,0,glitching,ever since recently no one in my family can watch anything on their phones because every title we have watched doesn’t show up. I looked up every single thing i could remember watching and NOTHING came up.
Tiger.02,2021-08-05 19:39:30-07:00,2,0,Netflix App,"I’ve had several problems with the app lately. It has me sign in every single time I go to open the app, and even if I’ve got all bars of service, it’ll kick me out randomly and make me sign in again or I’ll hit the sign in button after entering my log in and it’ll load like it’s about to work but then go right back to the sign in page and ask me to re enter my log in all over again. Once I’m finally logged in, I will try to click on the show I want to watch and it’ll give me an error and won’t load it or let me watch it. It does this several times and I’ll have to exit out of the app and re sign in before it’ll let me watch the show. Or in the middle of the show, it’ll also just randomly kick me back out to the sign in page. I have had all bars of service, and tried using wifi as well and it still does it. It’s been an issue since it started making me sign in every time I open the app. I think for about the last month? At least the last few weeks. It used to just let me stay signed in and I wouldn’t have to log in every time I opened the app, I also wasn’t having the other issues then either. but since they changed that, I’ve had so many issues with it."
GOOOOOOOOOOOOOOOOOOODDDDDDD,2021-08-05 19:31:02-07:00,5,0,Good,VERY GOOD BUT IT SHOULD TELL WHEN THINGS ARE COMING OUT
Jalynn the awesomeness,2021-08-05 19:27:11-07:00,3,0,shows disappear,"every show from the CW is fine on my phone. but when i go on my tv it’s there. i know Netflix did not remove is but all american, arrow, and flash all disappeared.  not in continue watching or if i search it. i deleted the app, reset my phone, signed out, and it still did not come back."
afiahhs,2021-08-05 18:20:30-07:00,2,0,Hello!!!,Hi I’m trying to watch hunter hunter and when I try to skip the intro it always just doesn’t work or when I skip like 10 seconds it restarts the whole episode and when I try to go back to the pet it just restarts it
lessi12,2021-08-05 17:49:37-07:00,5,0,Horses,Netflix needs to add more horse shows to the kids account please add more but I give u 5 stars Netflix is great
Percabethluver,2021-08-05 17:02:39-07:00,5,0,:),Love this app :)
DIFTE AATJ,2021-08-05 15:45:37-07:00,3,0,App Keeps Logging User Out,The phone-based app was stable for many years but within the past few months I’ve been having login issues. It started by not preserving my login details between each session which was annoying but manageable. It has now escalated to logging me out in the middle of a show or shutting down the player window and requiring me to click another tab before selecting the Home tab again and resuming the stream. Today it happened three times in a single 45 min show. Not sure what sort of tweaks are being made but the iPhone app is becoming very unstable.
Sakiyah0357,2021-08-05 15:17:06-07:00,5,0,More heroes,"Can I have more miraculous ladybug and Power Rangers 

But I’m really asking if you guys can add Power Rangers megaforce and 
super megaforce"
GeoRitt,2021-08-05 14:37:08-07:00,1,0,Bring back the comments,Somehow Netflix quietly removed the comments section for movies and shows sometime ago. Netflix used our subscription money to pay off politicians and make unnecessary documentaries like knock down the house (the squad) using our subscription dollars. Netflix needs to stop disappointing it’s subscribers while there are other entertainment options out there.
flubersnicker,2021-08-05 14:36:21-07:00,5,0,Lavender,This is the best movie app it has so many shows likePretty little liars and the virgin river and sweet magnoliasThose are the best movies on there is so many more On there and I just downloaded this yesterday and it is the best movie app I could ever download
